Part,QTY,Total Price ,Link
Semi Transperent Mirror,2,12.44,https://www.aliexpress.com/item/3256806701424972.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.04%21USD%2012.44%21%21USD%2012.44%21%21%21%402101c80217498685717765725e4775%2112000038624778567%21ct%21US%212680287963%21%211%210&_gl=1*10sq7k8*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg1NzIkajU3JGwwJGgw
7v to 5v Buck Converter,1,2.29,https://www.aliexpress.com/item/3256808454422494.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%202.29%21USD%202.29%21%21USD%202.29%21%21%21%402101c80217498685972066502e4775%2112000046057983506%21ct%21US%212680287963%21%211%210&_gl=1*10sq7k8*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg1NzIkajU3JGwwJGgw
2S lipo charger module,1,4.19,https://www.aliexpress.com/item/3256808548137652.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%204.19%21USD%204.19%21%21USD%204.19%21%21%21%402101c80217498685972066502e4775%2112000046444802875%21ct%21US%212680287963%21%211%210&_gl=1*10sq7k8*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg1NzIkajU3JGwwJGgw
LPDDR4 BGA Stencil,1,4.66,https://www.aliexpress.com/item/3256804491507637.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%204.66%21USD%204.66%21%21USD%204.66%21%21%21%402101c80217498685717765725e4775%2112000030069479712%21ct%21US%212680287963%21%211%210&_gl=1*10sq7k8*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg1NzIkajU3JGwwJGgw
Orange Pi Zero 2 W,1,24,https://www.aliexpress.com/item/3256805793020466.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%2022.00%21USD%2022.00%21%21USD%2022.00%21%21%21%402101c80217498685717765725e4775%2112000035335618950%21ct%21US%212680287963%21%211%210&_gl=1*mod294*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
LPDDR4 BGA Chip (4GB),1,4,https://www.aliexpress.com/item/3256808641238278.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%203.50%21USD%203.46%21%21USD%203.46%21%21%21%402101c80217498685717765725e4775%2112000046845145620%21ct%21US%212680287963%21%211%210&_gl=1*mod294*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
LOCA (Optical Clear Glue),1,9,https://www.aliexpress.com/item/2255800983414695.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%208.86%21USD%208.86%21%21USD%208.86%21%21%21%402101c80217498686257907146e4775%2110000015016065790%21ct%21US%212680287963%21%211%210&_gl=1*mod294*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
3.7v 300mah LIPO,2,7,https://www.aliexpress.com/item/3256808480833790.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.96%21USD%206.58%21%21USD%206.58%21%21%21%402101c80217498685717765725e4775%2112000046158863251%21ct%21US%212680287963%21%211%210&_gl=1*mod294*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
Polarizing Beam Splitter Cube,2,24,https://www.aliexpress.com/item/3256801646317160.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%2015.00%21USD%2012.00%21%21USD%2012.00%21%21%21%402101c80217498685717765725e4775%2112000017790077962%21ct%21US%212680287963%21%212%210&_gl=1*mod294*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
MPU 9250,1,5,https://www.aliexpress.com/item/3256805884551296.html?spm=a2g0o.cart.0.0.346938dabCE0Hi&mp=1&pdp_npi=5%40dis%21USD%21USD%204.50%21USD%204.50%21%21USD%204.50%21%21%21%402101c80217498685972066502e4775%2112000047562014934%21ct%21US%212680287963%21%211%210&_gl=1*46bjol*_gcl_aw*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDkwODQ1MzguQ2p3S0NBanczZl9CQmhBUEVpd0FhQTNLNUM0SENPdklDSDhYTkZoaGZOOU1fTHVsX1VhVEhQRWtIbXNTWE1wWWE5cmJjR3RUQjYwa0dSb0N0YUVRQXZEX0J3RQ..*_gcl_au*MTk0NDQ1MTk2My4xNzQ0MzUwNDU3*_ga*MjgwMjg2NzcwLjE3NDk4NDY2MDg.*_ga_VED1YSGNC7*czE3NDk4NjQxMTEkbzQkZzEkdDE3NDk4Njg2MjYkajMkbDAkaDA.
